Counter,Time,Bin 5,Pressure,Bin 4,PM10,SFR,Bin 8,Bin 15,Bin 6,Bin 3,Bin 2,Bin3 MToF,Bin5 MToF,Bin 9,Bin 14,Bin 12,Checksum,Sampling Period,PM1,PM2.5,Bin 7,Temperature,Bin7 MToF,Bin 1,Bin 11,Bin1 MToF,Bin 0,Bin 13,Bin 10
79,46.9739191532135,1,,3,418.9732666015625,4.35693359375,0,0,0,17,166,6.666666666666667,4.333333333333333,0,0,0,1570,0.5039786696434021,344.6476135253906,417.8301696777344,0,,0.0,487,0,5.666666666666667,896,0,0
80,47.5762460231781,2,,2,413.0323486328125,4.354936122894287,0,0,1,40,145,7.0,6.666666666666667,0,0,0,1563,0.5045333504676819,337.42095947265625,410.8592834472656,0,,0.0,482,0,5.666666666666667,891,0,0
81,48.17568063735962,2,,3,402.9239807128906,4.353938579559326,0,0,0,27,147,7.333333333333333,8.0,0,0,0,1576,0.503765344619751,333.630126953125,401.6273193359375,0,,0.0,416,0,5.666666666666667,981,0,0
82,48.77816700935364,1,,4,499.7046203613281,4.353439807891846,0,0,2,31,226,8.333333333333334,9.666666666666666,0,0,0,1828,0.5043413043022156,401.7541809082031,496.6037292480469,0,,0.0,529,0,5.666666666666667,1035,0,0
83,49.38263392448425,0,,4,488.3460388183594,4.3531904220581055,0,0,1,32,206,7.333333333333333,0.0,0,0,0,1799,0.5036373138427734,396.1543273925781,486.196044921875,0,,0.0,546,0,5.666666666666667,1010,0,0
84,49.996166467666626,0,,1,358.44537353515625,4.353065490722656,0,0,1,24,128,8.0,0.0,0,0,0,1412,0.5041066408157349,297.5887756347656,356.81927490234375,0,,0.0,366,0,5.666666666666667,892,0,0
85,50.595179319381714,1,,2,405.4976501464844,4.353003025054932,0,0,2,22,139,7.333333333333333,8.333333333333334,0,0,0,1575,0.5039786696434021,335.68536376953125,402.91204833984375,0,,0.0,446,0,5.666666666666667,963,0,0
86,51.19472026824951,0,,3,482.0211181640625,4.352972030639648,0,0,0,32,202,7.0,0.0,0,0,0,1794,0.5041919946670532,393.1662292480469,480.6888732910156,0,,0.0,535,0,5.666666666666667,1022,0,0
87,51.8005268573761,2,,1,411.9656066894531,4.352956295013428,0,0,0,21,167,6.333333333333333,12.0,0,0,0,1554,0.5034239888191223,338.281494140625,410.7186279296875,0,,0.0,449,0,5.666666666666667,914,0,0
88,52.40064024925232,2,,3,392.14324951171875,4.3529486656188965,0,0,0,28,134,7.333333333333333,12.0,0,0,0,1540,0.5043413043022156,325.68536376953125,390.8859558105469,0,,0.0,422,0,5.666666666666667,951,0,0
89,53.00506830215454,2,,1,446.1921081542969,4.352944374084473,0,0,0,31,181,6.333333333333333,6.0,0,0,0,1659,0.5034453272819519,364.0121765136719,444.76983642578125,0,,0.0,504,0,5.666666666666667,940,0,0
90,53.61005687713623,1,,4,519.3364868164062,4.35294246673584,0,0,1,42,199,7.666666666666667,10.333333333333334,0,0,0,1931,0.5041066408157349,422.8013610839844,516.9671020507812,0,,0.0,607,0,5.666666666666667,1077,0,0
91,54.22108817100525,0,,1,379.935791015625,4.352941989898682,0,0,0,31,144,7.333333333333333,0.0,0,0,0,1469,0.5037013292312622,313.50030517578125,378.9287109375,0,,0.0,397,0,5.666666666666667,896,0,0
92,54.82230997085571,0,,0,441.5051574707031,4.228571891784668,0,0,0,37,172,7.666666666666667,0.0,0,0,0,1624,0.5044266581535339,361.4631652832031,440.31231689453125,0,,0.0,463,0,6.0,952,0,0
93,55.42067527770996,3,,2,395.7969055175781,4.289855003356934,0,0,2,25,139,7.0,12.666666666666666,0,0,0,1489,0.5039146542549133,324.2496337890625,392.88519287109375,0,,0.0,433,0,5.666666666666667,885,0,0
94,56.01972961425781,0,,3,443.7726135253906,4.321167945861816,0,0,2,27,173,7.0,0.0,0,0,0,1642,0.5034880042076111,361.65106201171875,441.0614929199219,0,,0.0,498,0,5.666666666666667,939,0,0
95,56.623156785964966,1,,1,536.3513793945312,4.336996555328369,0,0,2,29,246,7.0,7.666666666666667,0,0,0,1919,0.5031466484069824,430.9122619628906,533.2655029296875,0,,0.0,593,0,5.666666666666667,1047,0,0
96,57.232192039489746,3,,1,512.7909545898438,4.344954013824463,0,0,0,32,215,8.0,7.333333333333333,0,0,0,1886,0.50408536195755,416.9942626953125,511.0845031738281,0,,0.0,583,0,5.666666666666667,1052,0,0
97,57.83225870132446,2,,6,458.10577392578125,4.348944187164307,0,0,2,26,199,6.666666666666667,8.0,0,0,0,1694,0.5038719773292542,369.38555908203125,454.9750061035156,0,,0.0,477,0,5.666666666666667,982,0,0
98,58.4368360042572,1,,2,384.62957763671875,4.3509416580200195,0,0,1,24,139,7.0,9.0,0,0,0,1492,0.5040426850318909,317.8907775878906,382.7926025390625,0,,0.0,410,0,5.666666666666667,915,0,0
99,59.048041343688965,0,,2,390.2580871582031,4.4837870597839355,0,0,1,20,172,7.333333333333333,0.0,0,0,0,1499,0.5038080215454102,318.2062683105469,388.5133972167969,0,,0.0,431,0,5.333333333333333,873,0,0
100,59.658809661865234,1,,6,501.7939758300781,4.289369583129883,0,0,0,33,207,8.0,8.333333333333334,0,0,0,1817,0.5040640234947205,407.15081787109375,500.1755065917969,0,,0.0,567,0,6.0,1003,0,0
101,60.27467155456543,0,,1,374.5925598144531,4.320921421051025,0,0,1,21,133,6.666666666666667,0.0,0,0,0,1446,0.5035093426704407,310.9106140136719,372.9607849121094,0,,0.0,400,0,5.666666666666667,890,0,0
102,60.88465738296509,1,,2,488.7615966796875,4.336872100830078,0,0,1,34,200,7.333333333333333,8.333333333333334,0,0,0,1802,0.5042346715927124,397.1437683105469,486.5462646484375,0,,0.0,551,0,5.666666666666667,1013,0,0
103,61.48334980010986,0,,2,537.7592163085938,4.3448920249938965,0,0,0,58,252,7.666666666666667,0.0,0,0,0,1920,0.5038719773292542,428.5585632324219,535.9644165039062,0,,0.0,586,0,5.666666666666667,1022,0,0
104,62.100289821624756,1,,5,495.05517578125,4.348912715911865,0,0,0,47,225,7.333333333333333,11.666666666666666,0,0,0,1786,0.5040640234947205,396.033447265625,493.27093505859375,0,,0.0,542,0,5.666666666666667,966,0,0
105,62.69867300987244,0,,1,504.1136474609375,4.350925922393799,0,0,1,36,213,7.333333333333333,0.0,0,0,0,1808,0.5034453272819519,404.3139343261719,498.9519958496094,1,,9.666666666666666,590,0,5.666666666666667,966,0,0
106,63.29762268066406,1,,2,512.0320434570312,4.483778476715088,0,0,0,38,245,7.333333333333333,11.0,0,0,0,1902,0.5043626427650452,411.6712341308594,510.4146423339844,0,,0.0,585,0,5.333333333333333,1031,0,0
107,63.90209698677063,0,,4,503.66961669921875,4.417391300201416,0,0,0,33,243,6.333333333333333,0.0,0,0,0,1821,0.5034666657447815,403.965087890625,502.1482849121094,0,,0.0,574,0,5.666666666666667,967,0,0
108,64.5007791519165,2,,2,438.1038513183594,4.384929656982422,0,0,1,26,175,8.0,7.666666666666667,0,0,0,1652,0.5043200254440308,357.7439270019531,435.98162841796875,0,,0.0,497,0,5.666666666666667,949,0,0
109,65.10693287849426,1,,3,555.5375366210938,4.368876934051514,0,0,0,54,266,7.666666666666667,7.666666666666667,0,0,0,1947,0.5039359927177429,437.8247375488281,550.5617065429688,1,,5.0,628,0,5.666666666666667,994,0,0
110,65.71421813964844,0,,0,508.8080139160156,4.360894203186035,0,0,2,32,237,7.0,0.0,0,0,0,1839,0.5043839812278748,408.55279541015625,505.9134826660156,0,,0.0,557,0,5.666666666666667,1011,0,0
111,66.31396245956421,1,,3,604.5205688476562,4.356914043426514,0,0,3,50,270,8.333333333333334,11.0,0,0,0,2140,0.5038719773292542,481.1106262207031,600.2752075195312,0,,0.0,709,0,5.666666666666667,1104,0,0
112,66.92925882339478,0,,3,476.8542785644531,4.354926586151123,0,0,0,30,204,6.666666666666667,0.0,0,0,0,1765,0.5051093101501465,388.1947021484375,475.5393371582031,0,,0.0,537,0,5.666666666666667,991,0,0
113,67.52805614471436,1,,7,567.911376953125,4.353933334350586,0,0,1,46,268,7.666666666666667,9.0,0,0,0,1991,0.5034453272819519,450.6187744140625,565.11962890625,0,,0.0,655,0,5.666666666666667,1013,0,0
114,68.12699484825134,1,,6,473.5901184082031,4.485374927520752,0,0,2,42,218,7.333333333333333,8.333333333333334,0,0,0,1768,0.5044693350791931,377.88238525390625,470.42803955078125,0,,0.0,528,0,5.333333333333333,971,0,0
115,68.73637127876282,0,,4,481.1909484863281,4.418166160583496,0,0,1,39,200,7.0,0.0,0,0,0,1763,0.5035946369171143,385.62359619140625,476.03076171875,1,,9.666666666666666,570,0,5.666666666666667,948,0,0
