Counter,Time,SFR,Bin 6,Bin 11,Bin 1,Bin 7,Bin 5,Bin 15,Bin7 MToF,Bin 12,Bin1 MToF,Bin5 MToF,Bin 2,Pressure,PM1,Temperature,Bin 14,Sampling Period,Bin3 MToF,Bin 3,Bin 13,Bin 8,PM10,Bin 4,Bin 10,PM2.5,Bin 9,Bin 0,Checksum
82,48.68943953514099,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.5037226676940918,0.0,0,0,0,0.0,0,0,0.0,0,0,0
83,49.29155349731445,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.19400842487812042,,0,0.5039786696434021,0.0,0,0,0,0.19955013692378998,0,0,0.19954662024974823,0,1,1
84,49.890018701553345,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.5034453272819519,0.0,0,0,0,0.0,0,0,0.0,0,0,0
85,50.48846220970154,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.5038506388664246,0.0,0,0,0,0.0,0,0,0.0,0,0,0
86,51.087443590164185,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.5036799907684326,0.0,0,0,0,0.0,0,0,0.0,0,0,0
87,51.68744134902954,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.5048320293426514,0.0,0,0,0,0.0,0,0,0.0,0,0,0
88,52.288567543029785,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.19403307139873505,,0,0.5039146542549133,0.0,0,0,0,0.1995754837989807,0,0,0.19957196712493896,0,1,1
89,52.89163613319397,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.505237340927124,0.0,0,0,0,0.0,0,0,0.0,0,0,0
90,53.493245124816895,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.5039573311805725,0.0,0,0,0,0.0,0,0,0.0,0,0,0
91,54.095648527145386,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.5045760273933411,0.0,0,0,0,0.0,0,0,0.0,0,0,0
92,54.69784641265869,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.5039573311805725,0.0,0,0,0,0.0,0,0,0.0,0,0,0
93,55.30191135406494,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.5048959851264954,0.0,0,0,0,0.0,0,0,0.0,0,0,0
94,55.902464866638184,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.5039359927177429,0.0,0,0,0,0.0,0,0,0.0,0,0,0
95,56.51637125015259,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,1,,0.40392741560935974,,0,0.5038293600082397,0.0,0,0,0,0.688456118106842,0,0,0.683924674987793,0,0,1
96,57.123711824417114,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.5036799907684326,0.0,0,0,0,0.0,0,0,0.0,0,0,0
97,57.726789712905884,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.504256010055542,0.0,0,0,0,0.0,0,0,0.0,0,0,0
98,58.33112955093384,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.5033599734306335,0.0,0,0,0,0.0,0,0,0.0,0,0,0
99,58.93483591079712,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.5039573311805725,0.0,0,0,0,0.0,0,0,0.0,0,0,0
100,59.54454946517944,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.5033386945724487,0.0,0,0,0,0.0,0,0,0.0,0,0,0
101,60.14459204673767,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.5042773485183716,0.0,0,0,0,0.0,0,0,0.0,0,0,0
102,60.742676734924316,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.5032106637954712,0.0,0,0,0,0.0,0,0,0.0,0,0,0
103,61.34228754043579,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.5039573311805725,0.0,0,0,0,0.0,0,0,0.0,0,0,0
104,61.94131064414978,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.5035093426704407,0.0,0,0,0,0.0,0,0,0.0,0,0,0
105,62.55250525474548,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.504149317741394,0.0,0,0,0,0.0,0,0,0.0,0,0,0
106,63.15079164505005,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.5034239888191223,0.0,0,0,0,0.0,0,0,0.0,0,0,0
107,63.759469985961914,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.5041279792785645,0.0,0,0,0,0.0,0,0,0.0,0,0,0
108,64.35895037651062,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.5033386945724487,0.0,0,0,0,0.0,0,0,0.0,0,0,0
109,64.9600830078125,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.5040213465690613,0.0,0,0,0,0.0,0,0,0.0,0,0,0
110,65.56726145744324,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.5033599734306335,0.0,0,0,0,0.0,0,0,0.0,0,0,0
111,66.16865038871765,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.5043200254440308,0.0,0,0,0,0.0,0,0,0.0,0,0,0
112,66.76925945281982,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.5033386945724487,0.0,0,0,0,0.0,0,0,0.0,0,0,0
113,67.36792254447937,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.5041919946670532,0.0,0,0,0,0.0,0,0,0.0,0,0,0
114,67.96646189689636,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.5035306811332703,0.0,0,0,0,0.0,0,0,0.0,0,0,0
115,68.56526851654053,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,1,,0.4036710560321808,,0,0.504149317741394,0.0,0,0,0,0.6880192160606384,0,0,0.6834906339645386,0,0,1
116,69.16349172592163,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.19427156448364258,,0,0.5032960176467896,0.0,0,0,0,0.19982080161571503,0,0,0.19981727004051208,0,1,1
117,69.76232075691223,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.504256010055542,0.0,0,0,0,0.0,0,0,0.0,0,0,0
118,70.36067914962769,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.5033173561096191,0.0,0,0,0,0.0,0,0,0.0,0,0,0
119,70.95942521095276,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.5040000081062317,0.0,0,0,0,0.0,0,0,0.0,0,0,0
120,71.55779981613159,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.5034026503562927,0.0,0,0,0,0.0,0,0,0.0,0,0,0
121,72.1566059589386,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.504149317741394,0.0,0,0,0,0.0,0,0,0.0,0,0,0
122,72.75499391555786,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.5035306811332703,0.0,0,0,0,0.0,0,0,0.0,0,0,0
123,73.35495185852051,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.504256010055542,0.0,0,0,0,0.0,0,0,0.0,0,0,0
124,73.95375871658325,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.5040640234947205,0.0,0,0,0,0.0,0,0,0.0,0,0,0
125,74.55326104164124,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.5042773485183716,0.0,0,0,0,0.0,0,0,0.0,0,0,0
126,75.15143132209778,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.5033599734306335,0.0,0,0,0,0.0,0,0,0.0,0,0,0
127,75.74998569488525,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.5039786696434021,0.0,0,0,0,0.0,0,0,0.0,0,0,0
128,76.34994435310364,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.5036799907684326,0.0,0,0,0,0.0,0,0,0.0,0,0,0
129,76.95261812210083,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.5048106908798218,0.0,0,0,0,0.0,0,0,0.0,0,0,0
130,77.55483961105347,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.5038933157920837,0.0,0,0,0,0.0,0,0,0.0,0,0,0
131,78.15682101249695,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.5042133331298828,0.0,0,0,0,0.0,0,0,0.0,0,0,0
132,78.75638461112976,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.5034239888191223,0.0,0,0,0,0.0,0,0,0.0,0,0,0
133,79.35569524765015,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.5047680139541626,0.0,0,0,0,0.0,0,0,0.0,0,0,0
134,79.95760703086853,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.5039146542549133,0.0,0,0,0,0.0,0,0,0.0,0,0,0
135,80.55980038642883,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.5044266581535339,0.0,0,0,0,0.0,0,0,0.0,0,0,0
136,81.1602554321289,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0722721517086029,,0,0.5035520195960999,0.0,0,0,0,0.4173995852470398,1,0,0.378272145986557,0,0,1
137,81.76350283622742,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.5046613216400146,0.0,0,0,0,0.0,0,0,0.0,0,0,0
138,82.36679863929749,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.5038719773292542,0.0,0,0,0,0.0,0,0,0.0,0,0,0
139,82.9664671421051,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.5042986869812012,0.0,0,0,0,0.0,0,0,0.0,0,0,0
140,83.56556415557861,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.5035946369171143,0.0,0,0,0,0.0,0,0,0.0,0,0,0
141,84.16889667510986,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.5046613216400146,0.0,0,0,0,0.0,0,0,0.0,0,0,0
