Counter,Time,Bin1 MToF,PM10,Bin 4,Bin 11,Bin 10,Bin 0,Bin 14,PM1,Sampling Period,Bin 15,Bin5 MToF,Bin 5,Bin 3,Checksum,Bin 8,Bin7 MToF,Bin 13,Pressure,Bin 7,Bin 9,Bin 12,Temperature,Bin 1,Bin 2,Bin 6,PM2.5,Bin3 MToF,SFR
63,37.64130759239197,0.0,0.0,0,0,0,0,0,0.0,0.5034880042076111,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
64,38.24152731895447,0.0,0.0,0,0,0,0,0,0.0,0.5050666928291321,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
65,38.84222149848938,0.0,0.0,0,0,0,0,0,0.0,0.5038080215454102,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
66,39.444786071777344,0.0,0.0,0,0,0,0,0,0.0,0.5045546889305115,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
67,40.043166637420654,0.0,0.0,0,0,0,0,0,0.0,0.5038719773292542,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
68,40.64549541473389,0.0,0.0,0,0,0,0,0,0.0,0.5044693350791931,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
69,41.24511456489563,0.0,0.0,0,0,0,0,0,0.0,0.5038506388664246,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
70,41.846376180648804,0.0,0.2001137137413025,0,0,0,1,0,0.1945563405752182,0.5044693350791931,0,0.0,0,0,1,0,0.0,0,,0,0,0,,0,0,0,0.20011018216609955,0.0,3.700000047683716
71,42.44869613647461,0.0,0.0,0,0,0,0,0,0.0,0.5040213465690613,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
72,43.051148653030396,0.0,0.0,0,0,0,0,0,0.0,0.504746675491333,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
73,43.652987480163574,0.0,0.0,0,0,0,0,0,0.0,0.5038506388664246,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
74,44.254783153533936,0.0,0.0,0,0,0,0,0,0.0,0.5037440061569214,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
75,44.853559255599976,0.0,0.0,0,0,0,0,0,0.0,0.5032320022583008,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
76,45.453147649765015,0.0,0.0,0,0,0,0,0,0.0,0.5049386620521545,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
77,46.055192947387695,0.0,0.0,0,0,0,0,0,0.0,0.5039146542549133,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
78,46.65703630447388,0.0,0.0,0,0,0,0,0,0.0,0.5040000081062317,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
79,47.255990982055664,0.0,0.0,0,0,0,0,0,0.0,0.5038933157920837,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
80,47.8686842918396,0.0,0.0,0,0,0,0,0,0.0,0.5037440061569214,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
81,48.47613763809204,0.0,0.0,0,0,0,0,0,0.0,0.5035733580589294,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
82,49.075507402420044,0.0,0.20007985830307007,0,0,0,1,0,0.19452343881130219,0.5045546889305115,0,0.0,0,0,1,0,0.0,0,,0,0,0,,0,0,0,0.20007632672786713,0.0,3.700000047683716
83,49.67516803741455,0.0,0.0,0,0,0,0,0,0.0,0.5039359927177429,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
84,50.27652072906494,0.0,0.0,0,0,0,0,0,0.0,0.5048106908798218,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
85,50.87831139564514,0.0,0.0,0,0,0,0,0,0.0,0.5038080215454102,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
86,51.480780601501465,0.0,0.0,0,0,0,0,0,0.0,0.5047893524169922,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
87,52.08290219306946,0.0,0.0,0,0,0,0,0,0.0,0.5038933157920837,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
88,52.69552993774414,0.0,0.0,0,0,0,0,0,0.0,0.5037226676940918,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
89,53.30425667762756,0.0,0.0,0,0,0,0,0,0.0,0.5036159753799438,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
90,53.9149386882782,0.0,0.0,0,0,0,0,0,0.0,0.5046186447143555,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
91,54.512690782547,0.0,0.0,0,0,0,0,0,0.0,0.5033173561096191,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
92,55.11146593093872,0.0,0.0,0,0,0,0,0,0.0,0.504149317741394,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
93,55.7098343372345,0.0,0.0,0,0,0,0,0,0.0,0.5034453272819519,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
94,56.308558225631714,0.0,0.0,0,0,0,0,0,0.0,0.5042773485183716,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
95,56.9068546295166,0.0,0.0,0,0,0,0,0,0.0,0.5034453272819519,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
96,57.50551462173462,0.0,0.0,0,0,0,0,0,0.0,0.5041706562042236,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
97,58.103718996047974,0.0,0.0,0,0,0,0,0,0.0,0.50327467918396,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
98,58.70376682281494,0.0,0.0,0,0,0,0,0,0.0,0.504149317741394,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
99,59.310858964920044,0.0,0.0,0,0,0,0,0,0.0,0.5034239888191223,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
100,59.91199612617493,0.0,0.0,0,0,0,0,0,0.0,0.5041706562042236,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
101,60.510268211364746,0.0,0.0,0,0,0,0,0,0.0,0.5034026503562927,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
102,61.10909962654114,0.0,0.0,0,0,0,0,0,0.0,0.5041279792785645,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
103,61.70801520347595,0.0,0.0,0,0,0,0,0,0.0,0.5040213465690613,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
104,62.311535596847534,0.0,0.0,0,0,0,0,0,0.0,0.5048320293426514,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
105,62.909788846969604,0.0,0.0,0,0,0,0,0,0.0,0.5037226676940918,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
106,63.512439012527466,0.0,0.0,0,0,0,0,0,0.0,0.5034453272819519,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
107,64.12017798423767,0.0,0.0,0,0,0,0,0,0.0,0.50327467918396,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
108,64.73007369041443,0.0,0.0,0,0,0,0,0,0.0,0.5040000081062317,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
109,65.33721327781677,0.0,0.0,0,0,0,0,0,0.0,0.5034880042076111,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
110,65.94705820083618,0.0,0.0,0,0,0,0,0,0.0,0.5040426850318909,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
111,66.54582262039185,0.0,0.0,0,0,0,0,0,0.0,0.5037226676940918,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
112,67.14916563034058,0.0,0.0,0,0,0,0,0,0.0,0.504149317741394,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
113,67.7563042640686,0.0,0.0,0,0,0,0,0,0.0,0.5034666657447815,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
