Counter,Time,Bin 15,Bin 10,Bin 6,Bin 7,Bin 13,Bin 3,Checksum,Bin 0,Bin5 MToF,PM10,Bin 1,Bin 12,Bin 11,PM2.5,Bin 2,Pressure,Bin3 MToF,Temperature,Bin1 MToF,Bin 8,Bin 14,Sampling Period,SFR,Bin 4,Bin 9,Bin 5,PM1,Bin7 MToF
65,38.472501277923584,0,0,1,0,0,6,1169,782,0.0,285.9657897949219,277,0,0,284.6094970703125,100,,6.0,,5.666666666666667,0,0,0.5038506388664246,4.394331455230713,3,0,0,240.6740264892578,0.0
66,39.07649850845337,0,0,0,0,0,14,1200,827,8.666666666666666,282.8597717285156,282,0,0,282.11431884765625,75,,7.333333333333333,,5.666666666666667,0,0,0.5044053196907043,4.373538017272949,0,0,2,242.52688598632812,0.0
67,39.67985224723816,0,0,0,0,0,9,1367,877,5.333333333333333,340.1305236816406,368,0,0,339.1326904296875,109,,7.666666666666667,,5.666666666666667,0,0,0.5038719773292542,4.363215446472168,1,0,3,287.0849609375,0.0
68,40.28225040435791,0,0,1,0,0,11,1346,868,0.0,330.6300964355469,332,0,0,329.1250305175781,131,,6.666666666666667,,5.333333333333333,0,0,0.5044693350791931,4.49029541015625,3,0,0,274.9201965332031,0.0
69,40.88287281990051,0,0,2,0,0,14,1174,812,0.0,267.07977294921875,273,0,0,265.12188720703125,72,,7.666666666666667,,5.333333333333333,0,0,0.5035093426704407,4.556652545928955,1,0,0,227.4197235107422,0.0
70,41.48310351371765,0,0,2,0,0,9,1292,897,9.0,302.0466613769531,292,0,0,299.8482971191406,88,,7.333333333333333,,5.666666666666667,0,0,0.5043413043022156,4.452467918395996,3,0,1,256.3612060546875,0.0
71,42.0814425945282,0,0,1,0,0,14,1315,877,10.333333333333334,318.0715026855469,322,0,0,316.536376953125,98,,7.666666666666667,,5.666666666666667,0,0,0.5035733580589294,4.402141571044922,2,0,1,268.6503601074219,0.0
72,42.6801598072052,0,0,0,0,0,9,1395,926,8.666666666666666,340.9570617675781,344,0,0,340.0771484375,113,,6.666666666666667,,5.666666666666667,0,0,0.504149317741394,4.3774027824401855,1,0,2,288.6600341796875,0.0
73,43.278512716293335,0,0,0,0,0,11,1389,900,0.0,345.5564880371094,357,0,0,344.8443908691406,119,,7.0,,5.666666666666667,0,0,0.5036159753799438,4.365137577056885,2,0,0,291.4035339355469,0.0
74,43.877344846725464,0,0,1,0,0,7,1083,722,0.0,262.5391540527344,278,0,0,261.3288879394531,74,,6.666666666666667,,5.666666666666667,0,0,0.5042986869812012,4.359030723571777,1,0,0,223.82125854492188,0.0
75,44.47573709487915,0,0,1,0,0,14,1323,884,0.0,324.4620666503906,319,0,0,323.0771484375,105,,7.333333333333333,,5.666666666666667,0,0,0.5035733580589294,4.355984210968018,0,0,0,274.05926513671875,0.0
76,45.07573986053467,0,0,1,0,0,18,1249,845,4.333333333333333,302.4901123046875,292,0,0,300.9616394042969,91,,6.666666666666667,,5.666666666666667,0,0,0.5043200254440308,4.354462146759033,1,0,1,255.39955139160156,0.0
77,45.67422938346863,0,0,4,0,0,13,1223,831,0.0,301.0939025878906,278,0,0,297.4317932128906,96,,7.0,,5.666666666666667,0,0,0.5036799907684326,4.353701114654541,1,0,0,250.6959991455078,0.0
78,46.274137020111084,0,0,0,0,0,18,1562,971,0.0,396.462890625,436,0,0,395.6553649902344,137,,7.0,,5.666666666666667,0,0,0.5043626427650452,4.353321075439453,0,0,0,332.5983581542969,0.0
79,46.87239146232605,0,0,1,0,0,14,1326,881,0.0,332.3890380859375,337,0,0,330.9766540527344,92,,7.666666666666667,,6.0,0,0,0.5035520195960999,4.228750705718994,1,0,0,282.4866943359375,0.0
80,47.474024057388306,0,0,1,0,0,11,1310,862,8.333333333333334,327.8274230957031,330,0,0,326.2992858886719,104,,7.666666666666667,,5.666666666666667,0,0,0.5049600005149841,4.289947032928467,1,0,1,276.3963317871094,0.0
81,48.07615256309509,0,0,2,0,0,10,1304,841,0.0,316.5755615234375,356,0,0,314.54852294921875,95,,7.666666666666667,,5.333333333333333,0,0,0.5040213465690613,4.45117712020874,0,0,0,267.4356384277344,0.0
82,48.67828011512756,0,0,2,0,0,13,1267,815,0.0,314.93951416015625,330,0,0,312.8165283203125,107,,7.333333333333333,,5.666666666666667,0,0,0.5043413043022156,4.4015116691589355,0,0,0,263.18218994140625,0.0
83,49.276501417160034,0,0,0,0,0,14,1336,840,0.0,332.33184814453125,380,0,0,331.6867980957031,101,,8.0,,5.666666666666667,0,0,0.5033599734306335,4.377091884613037,1,0,0,281.41119384765625,0.0
84,49.87512469291687,0,0,0,0,0,14,1309,896,9.666666666666666,320.8999938964844,309,0,0,320.1693115234375,88,,7.333333333333333,,6.0,0,0,0.5040213465690613,4.23993444442749,1,0,1,274.52667236328125,0.0
85,50.473642110824585,0,0,1,0,0,18,1447,944,0.0,379.66357421875,347,0,0,378.0069580078125,136,,7.0,,6.0,0,0,0.5035946369171143,4.174529075622559,1,0,0,316.2254333496094,0.0
86,51.074191093444824,0,0,1,0,0,21,1471,946,0.0,373.4917297363281,387,0,0,371.9139709472656,115,,7.0,,5.666666666666667,0,0,0.5045973062515259,4.261868476867676,1,0,0,313.9271545410156,0.0
87,51.67218828201294,0,0,1,0,0,21,1643,982,6.333333333333333,434.17626953125,477,0,0,432.29229736328125,160,,7.0,,5.666666666666667,0,0,0.5035520195960999,4.306923866271973,1,0,1,358.72503662109375,0.0
88,52.27215075492859,0,0,1,0,0,16,1466,916,4.333333333333333,376.9037780761719,395,0,0,375.1952819824219,136,,8.0,,5.666666666666667,0,0,0.5040640234947205,4.32981014251709,1,0,1,313.3787536621094,0.0
89,52.87053656578064,0,0,3,0,0,12,1386,858,4.0,355.8046875,396,0,0,352.5366516113281,113,,6.666666666666667,,5.666666666666667,0,0,0.5035093426704407,4.341345310211182,2,0,2,295.2884216308594,0.0
90,53.469032764434814,0,0,1,0,0,22,1622,1016,5.666666666666667,414.68157958984375,431,0,0,412.85205078125,150,,9.0,,5.666666666666667,0,0,0.5040000081062317,4.347135543823242,1,0,1,344.3880920410156,0.0
91,54.067476987838745,0,0,1,0,0,24,1630,986,0.0,421.6365661621094,470,0,0,419.9115905761719,148,,6.666666666666667,,5.666666666666667,0,0,0.5034666657447815,4.35003662109375,1,0,0,350.0563049316406,0.0
92,54.6669557094574,0,0,2,0,0,12,1515,954,3.6666666666666665,384.3646545410156,416,0,0,381.99945068359375,130,,6.666666666666667,,5.666666666666667,0,0,0.5046399831771851,4.3514885902404785,0,0,1,321.1264953613281,0.0
93,55.26683044433594,0,0,2,0,0,16,1328,885,9.0,329.1593933105469,313,0,0,326.8052673339844,110,,8.666666666666666,,5.666666666666667,0,0,0.5032106637954712,4.35221529006958,1,0,1,275.0215148925781,0.0
94,55.869996786117554,0,0,1,0,0,6,1271,862,8.0,306.1827392578125,313,0,0,304.7074890136719,87,,6.333333333333333,,5.666666666666667,0,0,0.5048106908798218,4.352578163146973,0,0,2,261.3052978515625,0.0
95,56.472418546676636,0,0,0,1,0,18,1463,898,6.0,367.5228576660156,411,0,0,363.5754089355469,133,,7.333333333333333,,5.333333333333333,0,0,0.5039786696434021,4.48465633392334,0,0,2,303.2700500488281,9.666666666666666
96,57.075008153915405,0,0,2,0,0,13,1365,890,0.0,336.1526794433594,343,0,0,333.99859619140625,117,,8.0,,5.666666666666667,0,0,0.5047039985656738,4.417817115783691,0,0,0,281.236328125,0.0
97,57.67279839515686,0,0,2,0,0,27,1606,989,0.0,413.9909362792969,427,0,0,411.447509765625,160,,7.0,,5.666666666666667,0,0,0.5034666657447815,4.385138988494873,1,0,0,340.13580322265625,0.0
98,58.27138018608093,0,0,2,0,0,12,1577,987,0.0,399.8460998535156,440,0,0,397.585693359375,136,,7.0,,5.666666666666667,0,0,0.5039573311805725,4.368980884552002,0,0,0,334.4848327636719,0.0
99,58.87001657485962,0,0,1,0,0,28,1568,959,0.0,405.16259765625,427,0,0,403.3596496582031,151,,7.0,,5.666666666666667,0,0,0.5033813118934631,4.360946178436279,2,0,0,334.1714782714844,0.0
100,59.468666315078735,0,0,1,0,0,12,1414,922,0.0,351.3076477050781,360,0,0,349.82635498046875,117,,7.0,,5.666666666666667,0,0,0.5040213465690613,4.356939792633057,2,0,0,295.63555908203125,0.0
101,60.06713366508484,0,0,3,0,0,26,1516,927,14.333333333333334,396.3379821777344,404,0,0,392.7422180175781,151,,7.0,,5.666666666666667,0,0,0.5035093426704407,4.3549394607543945,3,0,2,322.7129211425781,0.0
102,60.667113304138184,0,0,0,0,0,24,1634,1034,8.333333333333334,401.29315185546875,426,0,0,400.2784729003906,149,,6.666666666666667,,5.333333333333333,0,0,0.5042346715927124,4.4859089851379395,0,0,1,334.8987121582031,0.0
103,61.265350341796875,0,0,1,0,0,17,1521,949,0.0,384.0982971191406,409,0,0,382.4735107421875,143,,7.0,,5.666666666666667,0,0,0.5034453272819519,4.418424606323242,2,0,0,319.26068115234375,0.0
104,61.86517000198364,0,0,3,0,0,27,1709,1010,0.0,444.224365234375,511,0,0,440.8929443359375,156,,7.333333333333333,,5.666666666666667,0,0,0.5041279792785645,4.385438442230225,2,0,0,365.3435363769531,0.0
105,62.46358871459961,0,0,0,0,0,17,1532,958,7.666666666666667,390.04095458984375,408,0,0,388.9647521972656,144,,6.666666666666667,,5.666666666666667,0,0,0.5034026503562927,4.369129180908203,4,0,1,324.583984375,0.0
106,63.06216096878052,0,0,1,0,0,16,1662,991,8.333333333333334,429.9655456542969,506,0,0,428.24066162109375,147,,7.0,,5.666666666666667,0,0,0.5040213465690613,4.361020088195801,0,0,1,358.5323791503906,0.0
107,63.66075801849365,0,0,0,0,0,23,1692,1031,0.0,433.5935974121094,487,0,0,432.63714599609375,150,,7.666666666666667,,5.666666666666667,0,0,0.5035306811332703,4.356976509094238,1,0,0,362.2651672363281,0.0
108,64.26077890396118,0,0,0,0,0,20,1661,989,4.666666666666667,418.6542053222656,496,0,0,417.5297546386719,154,,7.0,,5.333333333333333,0,0,0.5040640234947205,4.4869890213012695,0,0,2,348.1564636230469,0.0
109,64.85918474197388,0,0,0,0,0,19,1256,806,3.0,297.5722961425781,336,0,0,296.8436279296875,94,,6.333333333333333,,5.333333333333333,0,0,0.5034453272819519,4.5549492835998535,0,0,1,251.2996826171875,0.0
110,65.45860409736633,0,0,2,0,0,17,1413,918,10.333333333333334,343.99322509765625,359,0,0,341.6338806152344,114,,7.333333333333333,,5.666666666666667,0,0,0.5050879716873169,4.451654434204102,2,0,1,287.38104248046875,0.0
111,66.06435513496399,0,0,0,0,0,22,1710,1007,0.0,443.4678039550781,507,0,0,442.3250427246094,169,,6.666666666666667,,5.666666666666667,0,0,0.5039786696434021,4.401744365692139,5,0,0,366.525146484375,0.0
112,66.66650462150574,0,0,4,0,0,22,1656,971,9.0,441.01397705078125,478,0,0,436.8277282714844,180,,7.333333333333333,,5.666666666666667,0,0,0.5044266581535339,4.377206802368164,0,0,1,357.7644348144531,0.0
113,67.27087831497192,0,0,3,0,0,24,1758,1019,11.666666666666666,464.9175720214844,543,0,0,461.4886779785156,168,,7.0,,5.666666666666667,0,0,0.5035306811332703,4.365040302276611,0,0,1,381.70672607421875,0.0
114,67.88479518890381,0,0,1,0,0,43,1931,1035,0.0,530.6949462890625,624,0,0,528.287353515625,222,,7.666666666666667,,5.666666666666667,0,0,0.5044693350791931,4.358982563018799,6,0,0,427.8578796386719,0.0
