Counter,Time,PM2.5,Bin 11,Bin5 MToF,PM1,Bin 8,Temperature,SFR,Bin1 MToF,Bin 3,Bin 14,PM10,Checksum,Bin 13,Bin 2,Bin 10,Pressure,Sampling Period,Bin 6,Bin 4,Bin 12,Bin7 MToF,Bin 9,Bin 7,Bin 1,Bin 15,Bin 5,Bin 0,Bin3 MToF
297,177.69834065437317,908.1521606445312,0,10.0,666.8773193359375,0,,4.521160125732422,5.333333333333333,155,0,914.5087280273438,2773,0,638,0,,0.5042346715927124,2,13,0,0.0,0,0,1121,0,2,842,7.666666666666667
298,178.298903465271,927.407470703125,0,0.0,673.0267333984375,0,,4.435456275939941,5.666666666666667,183,0,932.7578125,2763,0,667,0,,0.5056639909744263,0,20,0,0.0,0,0,1064,0,0,829,7.666666666666667
299,178.89775967597961,935.0222778320312,0,6.666666666666667,686.2940673828125,0,,4.3938117027282715,5.666666666666667,165,0,940.4401245117188,2785,0,627,0,,0.5042773485183716,0,19,0,0.0,0,0,1131,0,3,840,7.666666666666667
300,179.49773001670837,975.8695068359375,0,8.0,702.595458984375,0,,4.506442546844482,5.333333333333333,184,0,982.768310546875,2879,0,735,0,,0.5049386620521545,1,20,0,0.0,0,0,1151,0,5,783,7.666666666666667
301,180.09718441963196,984.6639404296875,0,7.0,713.18896484375,0,,4.428361892700195,5.666666666666667,174,0,991.2596435546875,2860,0,715,0,,0.5040213465690613,1,16,0,0.0,0,0,1172,0,4,778,7.666666666666667
302,180.69723272323608,979.17236328125,0,4.333333333333333,713.8880004882812,0,,4.390327453613281,5.666666666666667,155,0,984.3333129882812,2839,0,714,0,,0.5048106908798218,0,12,0,0.0,0,0,1148,0,1,809,8.0
303,181.2965486049652,932.9025268554688,0,9.0,676.5260009765625,0,,4.371554851531982,5.666666666666667,166,0,939.4267578125,2700,0,659,0,,0.5038080215454102,1,17,0,0.0,0,0,1085,0,5,767,7.333333333333333
304,181.89726662635803,912.8414916992188,0,13.666666666666666,665.228759765625,0,,4.4947075843811035,5.333333333333333,159,0,918.6489868164062,2764,0,654,0,,0.5054720044136047,0,23,0,0.0,0,0,1087,0,6,835,8.333333333333334
305,182.49629473686218,895.7271728515625,0,9.0,659.20751953125,0,,4.55892276763916,5.333333333333333,162,0,901.3389282226562,2773,0,619,0,,0.5042346715927124,1,14,0,0.0,0,0,1134,0,2,841,7.666666666666667
306,183.09697914123535,900.1475830078125,0,9.0,657.080078125,0,,4.591723442077637,5.333333333333333,167,0,905.274169921875,2764,0,648,0,,0.5056853294372559,0,22,0,0.0,0,0,1150,0,1,776,7.333333333333333
307,183.69570207595825,946.1758422851562,0,10.0,683.688720703125,0,,4.608301162719727,5.333333333333333,181,0,951.8995361328125,2873,0,725,0,,0.5041919946670532,0,20,0,0.0,0,0,1130,0,3,814,8.0
308,184.29625487327576,901.6991577148438,0,5.0,651.6541137695312,0,,4.616635799407959,5.333333333333333,176,0,907.206298828125,2745,0,690,0,,0.5054506659507751,0,16,0,0.0,0,0,1095,0,4,764,7.666666666666667
309,184.89527654647827,924.8690185546875,0,8.333333333333334,673.9083251953125,0,,4.480912208557129,5.666666666666667,157,0,933.9053344726562,2768,0,655,0,,0.5043200254440308,5,15,0,0.0,0,0,1121,0,4,811,7.666666666666667
310,185.49569511413574,850.2508544921875,0,13.0,629.4857788085938,0,,4.551816463470459,5.333333333333333,133,0,856.274658203125,2650,0,578,0,,0.5054506659507751,2,15,0,0.0,0,0,1098,0,3,821,8.0
311,186.094744682312,819.96875,0,5.666666666666667,607.8924560546875,0,,4.58811616897583,5.333333333333333,146,0,824.53369140625,2625,0,560,0,,0.5040213465690613,0,14,0,0.0,0,0,998,0,3,904,7.0
312,186.6945424079895,854.8587036132812,0,2.3333333333333335,629.6016235351562,0,,4.467435836791992,5.666666666666667,132,0,860.0471801757812,2591,0,601,0,,0.5046613216400146,1,14,0,0.0,0,0,1029,0,1,813,7.666666666666667
313,187.29275631904602,835.9208984375,0,9.0,619.61376953125,0,,4.5448527336120605,5.333333333333333,144,0,841.1463623046875,2641,0,566,0,,0.5038933157920837,1,14,0,0.0,0,0,1017,0,2,897,8.0
314,187.8928828239441,900.5294189453125,0,8.0,654.560302734375,0,,4.584575653076172,5.333333333333333,173,0,906.000244140625,2731,0,661,0,,0.5047893524169922,0,10,0,0.0,0,0,1132,0,6,749,8.0
315,188.49223017692566,909.33544921875,0,7.333333333333333,659.0615234375,0,,4.60469913482666,5.333333333333333,179,0,916.356201171875,2801,0,672,0,,0.5038080215454102,2,22,0,0.0,0,0,1084,0,3,839,8.0
316,189.09264755249023,809.6368408203125,0,7.666666666666667,593.8826904296875,0,,4.6148271560668945,5.333333333333333,137,0,816.3385009765625,2546,0,592,0,,0.5050026774406433,3,10,0,0.0,0,0,973,0,4,827,7.666666666666667
317,189.69176149368286,803.7565307617188,0,9.0,598.1871337890625,0,,4.619907855987549,5.333333333333333,111,0,809.4537963867188,2557,0,563,0,,0.5039359927177429,2,5,0,0.0,0,0,1019,0,6,851,7.666666666666667
318,190.29191207885742,911.9171752929688,0,2.3333333333333335,665.6884155273438,0,,4.482452869415283,5.666666666666667,187,0,919.9774780273438,2757,0,615,0,,0.5048320293426514,4,14,0,0.0,0,0,1143,0,1,793,8.0
319,190.8901994228363,823.1044921875,0,7.333333333333333,611.0360107421875,0,,4.552611351013184,5.333333333333333,123,0,827.365234375,2554,0,566,0,,0.5039146542549133,0,10,0,0.0,0,0,1059,0,3,793,7.666666666666667
320,191.49034428596497,952.1502075195312,0,11.333333333333334,686.637451171875,0,,4.588520526885986,5.333333333333333,180,0,960.0392456054688,2858,0,719,0,,0.5048533082008362,3,20,0,0.0,0,0,1172,0,3,761,8.0
321,192.08983302116394,945.020263671875,0,11.333333333333334,677.8709716796875,0,,4.606687545776367,5.333333333333333,195,0,951.8827514648438,2837,0,721,0,,0.5040213465690613,1,25,0,0.0,0,0,1144,0,4,747,7.666666666666667
322,192.69006943702698,1005.4826049804688,0,9.0,718.0294799804688,0,,4.476221084594727,5.666666666666667,204,0,1013.6778564453125,2911,0,764,0,,0.5050026774406433,2,18,0,0.0,0,0,1168,0,7,748,8.0
323,193.2894172668457,936.5925903320312,0,12.666666666666666,675.235595703125,0,,4.549394130706787,5.333333333333333,190,0,943.7042846679688,2808,0,703,0,,0.5042346715927124,2,15,0,0.0,0,0,1104,0,3,791,7.666666666666667
324,193.88933324813843,886.410888671875,0,0.0,645.0333862304688,0,,4.586885452270508,5.333333333333333,167,0,894.7716064453125,2717,0,660,0,,0.5047039985656738,1,13,0,9.0,0,1,1065,0,0,810,7.666666666666667
325,194.48746371269226,848.3805541992188,0,9.333333333333334,620.6187133789062,0,,4.60586404800415,5.333333333333333,166,0,854.748291015625,2653,0,602,0,,0.5037440061569214,2,14,0,0.0,0,0,1040,0,3,826,7.666666666666667
326,195.0883457660675,832.2081298828125,0,7.666666666666667,611.4698486328125,0,,4.61541223526001,5.333333333333333,149,0,836.7922973632812,2611,0,599,0,,0.5056853294372559,0,14,0,0.0,0,0,1042,0,2,805,7.333333333333333
327,195.68719148635864,801.606689453125,0,17.666666666666668,595.682373046875,0,,4.620201110839844,5.333333333333333,135,0,805.6648559570312,2560,0,552,0,,0.504256010055542,0,11,0,0.0,0,0,1022,0,1,839,7.0
328,196.28763127326965,829.9032592773438,0,9.0,612.0215454101562,0,,4.6225996017456055,5.333333333333333,136,0,834.9189453125,2623,0,601,0,,0.5055573582649231,1,13,0,0.0,0,0,1027,0,1,844,7.333333333333333
329,196.88658928871155,901.0151977539062,0,8.0,653.900390625,0,,4.6237993240356445,5.333333333333333,183,0,907.7322387695312,2790,0,673,0,,0.504149317741394,2,12,0,0.0,0,0,1073,0,3,844,7.333333333333333
330,197.4875385761261,856.3729858398438,0,7.0,627.9320068359375,0,,4.624399662017822,5.333333333333333,160,0,862.6303100585938,2705,0,607,0,,0.5059626698493958,2,21,0,0.0,0,0,1074,0,1,840,7.333333333333333
331,198.08620142936707,835.0851440429688,0,0.0,616.3251953125,0,,4.484565734863281,5.666666666666667,135,0,839.9481811523438,2555,0,587,0,,0.504256010055542,1,9,0,0.0,0,0,997,0,0,826,7.333333333333333
332,198.68611073493958,862.1032104492188,0,7.666666666666667,623.4833374023438,0,,4.5537004470825195,5.333333333333333,148,0,867.9790649414062,2577,0,662,0,,0.5047893524169922,1,15,0,0.0,0,0,1021,0,4,726,7.333333333333333
333,199.28540134429932,840.8812866210938,0,7.666666666666667,615.4351806640625,0,,4.5890727043151855,5.333333333333333,152,0,847.3328247070312,2627,0,602,0,,0.5038080215454102,2,17,0,0.0,0,0,1007,0,4,843,7.333333333333333
334,199.88565587997437,931.309814453125,0,8.333333333333334,669.0375366210938,0,,4.606966495513916,5.333333333333333,210,0,938.8271484375,2819,0,690,0,,0.5048533082008362,2,18,0,0.0,0,0,1151,0,5,743,7.666666666666667
335,200.4850676059723,968.522216796875,0,7.666666666666667,700.03955078125,0,,4.476353168487549,5.666666666666667,183,0,975.2618408203125,2850,0,703,0,,0.5039359927177429,1,21,0,0.0,0,0,1164,0,4,774,7.666666666666667
336,201.08533573150635,978.8003540039062,0,9.0,707.0751953125,0,,4.413784503936768,5.666666666666667,197,0,985.4834594726562,2870,0,702,0,,0.5050026774406433,1,20,0,0.0,0,0,1129,0,2,819,7.666666666666667
337,201.68452620506287,987.6207275390625,0,9.0,711.5272216796875,0,,4.5169243812561035,5.333333333333333,197,0,995.0068969726562,2926,0,720,0,,0.5038933157920837,1,21,0,0.0,0,0,1199,0,8,780,7.0
