Counter,Time,Bin1 MToF,Bin 14,Bin 2,Bin 5,Bin 9,PM10,Bin 8,Bin 0,Checksum,Bin7 MToF,Bin 3,Bin 10,Bin 12,SFR,Bin 15,Bin5 MToF,PM2.5,Pressure,Bin 1,PM1,Bin3 MToF,Bin 13,Bin 4,Bin 7,Bin 6,Bin 11,Temperature,Sampling Period
108,64.44847440719604,5.666666666666667,0,1,0,0,22.83092498779297,1,4,11,12.333333333333334,1,0,0,3.493673086166382,0,0.0,5.6719746589660645,,2,2.113774061203003,9.666666666666666,0,0,1,1,0,,0.5048320293426514
109,65.04943752288818,8.666666666666666,0,1,1,0,2.7183756828308105,0,0,5,0.0,0,0,0,3.4562294483184814,0,9.0,2.553776264190674,,3,1.5491530895233154,0.0,0,0,0,0,0,,0.5039359927177429
110,65.6518964767456,0.0,0,0,0,0,1.4979228973388672,0,3,5,0.0,1,0,0,3.4562294483184814,0,0.0,1.4419481754302979,,0,0.8367809057235718,9.666666666666666,0,1,0,0,0,,0.5046826601028442
111,66.25146484375,24.333333333333332,0,0,0,0,3.0024209022521973,0,8,11,0.0,0,0,0,3.4562294483184814,0,0.0,2.9599452018737793,,2,2.456153631210327,0.0,0,1,0,0,0,,0.5039786696434021
112,66.85259461402893,0.0,0,0,0,0,0.8364297151565552,0,2,3,0.0,1,0,0,3.4562294483184814,0,0.0,0.8224080204963684,,0,0.5512171983718872,9.0,0,0,0,0,0,,0.5045760273933411
113,67.45091271400452,0.0,0,0,0,0,2.928628444671631,0,3,5,0.0,1,0,0,3.4562294483184814,0,0.0,1.950853943824768,,0,0.780784010887146,8.333333333333334,0,0,0,1,0,,0.5039786696434021
114,68.0546886920929,0.0,0,1,1,0,2.5088722705841064,0,3,6,0.0,1,0,0,3.4562294483184814,0,8.333333333333334,2.3311071395874023,,0,1.2418444156646729,7.0,0,0,0,0,0,,0.5045760273933411
115,68.65699362754822,10.333333333333334,0,0,0,0,2.1495048999786377,0,4,7,0.0,1,0,0,3.431037664413452,0,0.0,2.092817544937134,,1,1.4120757579803467,8.333333333333334,0,1,0,0,0,,0.5039786696434021
116,69.25949764251709,0.0,0,0,0,0,0.6472383141517639,0,3,3,0.0,0,0,0,3.431037664413452,0,0.0,0.647226870059967,,0,0.6292638182640076,0.0,0,0,0,0,0,,0.5045973062515259
117,69.8614993095398,0.0,0,0,1,0,2.001528263092041,0,4,6,0.0,1,0,0,3.431037664413452,0,8.333333333333334,1.8271236419677734,,0,1.0254701375961304,8.333333333333334,0,0,0,0,0,,0.5039146542549133
118,70.46404838562012,6.333333333333333,0,2,0,0,2.3362045288085938,0,2,5,0.0,0,0,0,3.4377472400665283,0,0.0,2.3262059688568115,,1,1.6463481187820435,0.0,0,0,0,0,0,,0.5047893524169922
119,71.06615471839905,0.0,0,0,0,0,0.6262543797492981,0,1,2,0.0,1,0,0,3.4377472400665283,0,0.0,0.612146258354187,,0,0.34519150853157043,9.666666666666666,0,0,0,0,0,,0.5040426850318909
120,71.66846299171448,6.666666666666667,0,2,0,0,2.322343349456787,0,0,4,0.0,0,0,0,3.4456255435943604,0,0.0,2.3121531009674072,,2,1.5815515518188477,0.0,0,0,0,0,0,,0.5045760273933411
121,72.26678204536438,5.0,0,0,0,0,1.4723050594329834,0,3,5,0.0,0,0,0,3.479473114013672,0,0.0,1.4718618392944336,,2,1.3273355960845947,0.0,0,0,0,0,0,,0.5039359927177429
